"전출지별","전입지별",2022.02,2022.03,2022.04,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"충청남도","세종특별자치시",731,501,435,-,-,4514,2915,6103,8384,5868,6587,6698,6495,6748,6307
"충청남도","경기도",3507,3087,2303,37414,35482,33244,31534,31925,33277,32054,31357,34619,36585,39591,37709
"충청남도","강원도",337,256,229,3507,3416,3209,2972,3085,3172,3022,2868,2935,2867,3193,3084
"충청남도","충청북도",658,696,459,7944,8297,6124,5844,6266,6253,5697,5828,5848,6079,6701,6721
"충청남도","충청남도",15247,13114,11461,177372,179652,161743,159556,165101,163496,163006,161612,169665,143953,163366,156509
"충청남도","전라북도",578,469,376,6125,6500,5523,5595,5451,5563,5278,5257,5332,5331,5881,5545
"충청남도","전라남도",260,200,190,2706,2794,2734,2596,2618,2593,2573,2481,2584,2834,2648,2724
"충청남도","경상북도",334,313,270,3536,3857,3362,3118,3437,3554,2934,2907,2982,2987,3160,3488
"충청남도","경상남도",314,268,199,3313,3479,3192,2894,3153,3480,2867,2804,2986,2953,3173,3151
"충청남도","제주특별자치도",116,112,77,731,755,777,862,915,1094,1163,1270,1165,1114,1168,1109
"전라북도","전국",20991,18954,15000,308237,306290,275126,260395,276900,264662,252607,239253,257097,241523,257577,229511
"전라북도","서울특별시",1797,1416,839,18777,17600,17180,15495,15902,14830,14993,14930,15664,15267,15153,13736
"전라북도","부산광역시",159,118,73,1518,1651,1508,1471,1621,1731,1582,1545,1344,1357,1364,1274
"전라북도","대구광역시",101,108,60,924,899,1033,1018,880,861,893,816,863,796,900,852
"전라북도","인천광역시",318,325,195,3844,3987,4075,3871,3588,3395,3415,3516,3724,3667,3774,3252
"전라북도","광주광역시",601,539,392,6355,6305,5896,5726,6221,5660,5733,5676,6186,5937,5797,5689
"전라북도","대전광역시",527,488,280,4814,5171,4788,4509,4572,4396,4303,4604,4634,4455,4462,4219
"전라북도","울산광역시",64,41,33,743,946,1081,1117,1099,1391,832,1288,1099,845,783,575
"전라북도","세종특별자치시",197,117,83,-,-,507,497,907,1422,1301,1551,1574,1474,1548,1455
"전라북도","경기도",1549,1324,1061,22008,20490,20407,17786,18053,17553,18083,18075,18439,17640,17805,16900
"전라북도","강원도",130,109,99,1480,1425,1438,1477,1600,1616,1521,1543,1326,1448,1319,1389
"전라북도","충청북도",229,213,168,2216,2179,1997,1939,2256,2271,2159,2195,2415,2295,2265,2411
"전라북도","충청남도",655,571,412,6514,6689,6150,5931,6067,6259,6096,6156,6310,6018,6540,6156
"전라북도","전라북도",13636,12728,10712,228881,228836,199254,189665,203725,193076,181657,167338,183346,170357,186458,162232
"전라북도","전라남도",549,433,305,5745,5579,5363,5452,5770,5304,5496,5458,5690,5617,5199,5160
"전라북도","경상북도",158,131,90,1569,1583,1598,1545,1499,1508,1381,1339,1352,1402,1306,1472
"전라북도","경상남도",211,190,149,2291,2342,2216,2171,2316,2329,2045,2109,2000,1909,1825,1841
"전라북도","제주특별자치도",110,103,49,558,608,635,725,824,1060,1117,1114,1131,1039,1079,898
"전라남도","전국",21251,19798,14988,275661,266461,244080,246635,260874,246168,237337,230551,232414,233271,248770,228106
"전라남도","서울특별시",1480,1208,785,17766,16298,15818,14595,14607,13884,14568,13665,13915,13894,14082,12125
